mutation_position,mutation_diversity,%top_10_clones,%top_100_clones,nonfunctional
0,0.8258129284001832,0.11103609565049752,0.4805795046060818,0.06002940219937513
0,0.40047735938528845,0.02579517512944013,0.11645424114391557,0.023121928981635488
0,1.0,1.0,1.0,0.531020130806151
0,0.5789869082344515,0.18739171234208624,0.2470743273135895,0.14605102863385613
0,0.24357759235771428,0.3826522721611107,0.4302232339935402,0.5260265927384579
0,0.18368195350343813,0.003186952995376553,0.008053937692757087,0.009043585460544129
0,0.27494215694722246,0.0,0.0,0.0
0,0.3162284649451129,0.010945516671515733,0.012554490512150709,0.011677775810776692
0,0.20610812975194814,0.1150040755980577,0.15999788510036772,0.1735711578390404
0,0.13848927212673656,0.07531102466203483,0.08161213592854513,0.13794165352416102
0,0.5154893399060461,0.1492064030786774,0.3552438866134802,0.12596150253662924
0,0.0,0.022821020469599898,0.018787646631777743,0.08289692061460283
0,0.16758383405936622,0.6140570090864379,0.47975902476082105,1.0
